birth_date,first_name,gender,last_name,primary_id
1944-11-22,Michael,Other,,722034
1986-03-15,,,Griffin,133195
1973-02-17,Amanda,Male,Johnson,981693
1961-06-29,Erica,Male,Griffin,115769
,Dustin,,,808308
1966-12-31,,Male,,244537
,Bradley,Female,,238461
1998-03-18,Lisa,,Simon,721982
,Alan,,Wallace,520906
1994-05-06,Sarah,,,555147
2004-11-13,Charles,Female,Humphrey,824394
1947-12-28,Amber,Male,Johnson,402162
1977-09-21,Theresa,Male,Whitaker,516414
,Thomas,Female,Robinson,143422
1976-10-07,Judith,Other,Berger,832160
1994-03-14,,Male,Rivers,369143
1956-11-03,Michael,Other,Wheeler,300530
2000-06-21,John,,,260703
1984-05-10,Jennifer,Female,Stewart,992970
1967-11-24,,Male,Castillo,422846
